"species","RCP","OA","meanlatinit","meanslope","decshift"
690271,"R85","Y",43.5379266810518,0.0234882483400341,26.0719556574379
690272,"R85","N",27.5168691671569,-0.00121777035320128,-1.35172509205342
690272,"R85","Y",27.5168820930422,-0.00128660031446401,-1.42812634905505
690273,"R85","N",44.4537313341427,-0.00515357665683469,-5.7204700890865
690273,"R85","Y",44.4537313691529,-0.00515365841659855,-5.72056084242439
690274,"R85","N",52.7700760344751,-0.00274050087027886,-3.04195596600953
690274,"R85","Y",52.770076107633,-0.00236546918965606,-2.62567080051822
690275,"R85","N",50.9922090249417,-0.000762531257439837,-0.846409695758219
690275,"R85","Y",50.9921990782949,-0.000646779358296512,-0.717925087709129
690279,"R85","N",37.3318575374034,0.0119837005372834,13.3019075963845
690279,"R85","Y",37.3322241000165,0.0119631037261766,13.279045136056
690282,"R85","N",6.88946521825275,-0.00609487086314142,-6.76530665808697
690282,"R85","Y",6.89263224889124,-0.00981273864421975,-10.8921398950839
690283,"R85","N",44.2414474986548,-0.00824088679780068,-9.14738434555876
690283,"R85","Y",44.2357041830763,-0.0150393179823881,-16.6936429604508
690284,"R85","N",52.5790359608862,-0.00535626784853641,-5.94545731187541
690284,"R85","Y",52.5806866206675,-0.00508034486741587,-5.63918280283162
690285,"R85","N",50.7274078697117,-0.00608065161398638,-6.74952329152488
690285,"R85","Y",50.7275807613111,-0.00492042159441651,-5.46166796980232
690286,"R85","N",54.0344808734376,0.0117394074047936,13.0307422193209
690286,"R85","Y",54.0327088788965,0.0107511670364882,11.9337954105019
690287,"R85","N",49.835776240193,0.00730375616099643,8.10716933870603
690287,"R85","Y",49.8316359728649,0.00597168957578773,6.62857542912438
690288,"R85","N",14.7574431116359,0.00176536441566049,1.95955450138314
690288,"R85","Y",14.7563797902283,0.00149242314622954,1.65658969231479
690296,"R85","N",-45.1564965186289,-0.0160735354286108,-17.841624325758
690296,"R85","Y",-45.156549174135,-0.0160640835405428,-17.8311327300025
690302,"R85","N",1.25604332869628,0.0226690561476872,25.1626523239328
690302,"R85","Y",1.2558650104066,0.0206716112945757,22.945488536979
690303,"R85","N",-7.47071811122837,0.00525136620654351,5.8290164892633
690303,"R85","Y",-7.47070254929574,0.00524626286950467,5.82335178515018
690305,"R85","N",36.7419698531296,-0.00365435512106623,-4.05633418438352
690305,"R85","Y",36.7425591455488,-0.00372088375966067,-4.13018097322334
690309,"R85","N",48.7353310958153,-0.0157195823247766,-17.448736380502
690309,"R85","Y",48.733076771475,-0.0195277407291284,-21.6757922093325
690313,"R85","N",52.8598014407329,0.000272260946841892,0.3022096509945
690313,"R85","Y",52.8598167168043,9.99802768516875e-06,0.0110978107305373
690314,"R85","N",50.9136305311878,0.00428447023183538,4.75576195733727
690314,"R85","Y",50.913348339992,0.00382118380987379,4.24151402895991
690320,"R85","N",22.9692035189848,-0.0128366932312819,-14.2487294867229
690320,"R85","Y",22.9720026450749,-0.0152088640101651,-16.8818390512833
690321,"R85","N",-37.755949728163,-0.00359840534199593,-3.99422992961548
690321,"R85","Y",-37.7559500370824,-0.00356652126416615,-3.95883860322442
690322,"R85","N",-40.8065834459131,-0.00207372584278256,-2.30183568548864
690322,"R85","Y",-40.8065809198537,-0.00207331145702953,-2.30137571730278
690325,"R85","N",-55.7305304993515,-0.0125947094560027,-13.980127496163
690325,"R85","Y",-55.7293598392845,-0.0126258943331054,-14.014742709747
690327,"R85","N",8.69993636980802,-0.0126663904034279,-14.059693347805
690327,"R85","Y",8.70052452813531,-0.0126417736781372,-14.0323687827323
690328,"R85","N",-0.054043119871712,0.0155983897295371,17.3142125997862
690328,"R85","Y",-0.0543256841484278,0.015102282445215,16.7635335141886
690332,"R85","N",-39.913090428364,-0.00601201325915418,-6.67333471766114
690332,"R85","Y",-39.913090428364,-0.00743507557992192,-8.25293389371333
690334,"R85","N",25.8274863878371,-0.00148492212378744,-1.64826355740406
690334,"R85","Y",25.8275050772204,-0.00154245922105827,-1.71212973537468
690335,"R85","N",21.5250844730437,0.00442461973637669,4.91132790737812
690335,"R85","Y",21.5245601238476,0.00439933871371141,4.88326597221967
690337,"R85","N",50.0489676764413,-0.00177746656012271,-1.9729878817362
690337,"R85","Y",50.0477226615692,-0.00650281970391855,-7.21812987134959
690338,"R85","N",-36.1658015369846,-0.00541797865063875,-6.01395630220901
690338,"R85","Y",-36.163489000459,-0.00520990129729137,-5.78299043999342
690341,"R85","N",-3.14906173899204,0.0131598012919328,14.6073794340454
690341,"R85","Y",-3.14908587151949,0.0143958049328964,15.979343475515
690343,"R85","N",18.2162088925031,-0.00487404594214466,-5.41019099578057
690343,"R85","Y",18.2170054545274,-0.0049861872276673,-5.5346678227107
690354,"R85","N",-48.3280583841691,-0.00419914620676341,-4.66105228950739
690354,"R85","Y",-48.328090926706,-0.00438598826408411,-4.86844697313336
690356,"R85","N",1.89622637461085,0.0250429361133639,27.7976590858339
690356,"R85","Y",1.896092170421,0.0250123912291776,27.7637542643872
690364,"R85","N",8.0037802748483,0.00881637823484297,9.78617984067569
690364,"R85","Y",8.00366919734386,0.00892145118627321,9.90281081676326
690370,"R85","N",-48.3642060391817,-0.000710690305929549,-0.788866239581799
690370,"R85","Y",-48.3647611561904,-0.000765851468255816,-0.850095129763955
690374,"R85","N",4.82302552122535,-0.0043934906990295,-4.87677467592275
690374,"R85","Y",4.831132061993,-0.0022014000756955,-2.44355408402201
690377,"R85","N",-46.9033406894603,0.00119452019469257,1.32591741610875
690377,"R85","Y",-46.9036020284504,0.00118586582077079,1.31631106105557
690378,"R85","N",6.19580468988537,-0.00743469052752226,-8.25250648554971
690378,"R85","Y",6.19532949190521,-0.00746591802305461,-8.28716900559061
690379,"R85","N",2.5593687725925,0.0197845455497845,21.9608455602608
690379,"R85","Y",2.55930809344486,0.0197515536042981,21.9242245007709
690381,"R85","N",-29.0685818614803,-0.00250055193565849,-2.77561264858093
690381,"R85","Y",-29.0680512919154,-0.00225415835175394,-2.50211577044687
690383,"R85","N",13.2259506784769,0.0127811140373986,14.1870365815124
690383,"R85","Y",13.226109030736,0.014541295060182,16.140837516802
690387,"R85","N",29.6616198962251,0.000751492296376852,0.834156448978306
690387,"R85","Y",29.6659305514155,0.000941209111410311,1.04474211366545
690392,"R85","N",27.0389732129659,0.0133636480249555,14.8336493077006
690392,"R85","Y",27.0151249597828,0.0130554311824634,14.4915286125344
690398,"R85","N",58.4098604295911,0.00365970243203953,4.06226969956388
690398,"R85","Y",58.4116089940903,0.00349178230512046,3.87587835868371
690400,"R85","N",42.1550062115098,-0.00146950288476593,-1.63114820209018
690400,"R85","Y",42.1479265233374,-0.00551430504997714,-6.12087860547463
690403,"R85","N",4.44848590641863,-0.00412264493082665,-4.57613587321758
690403,"R85","Y",4.44960966198425,-0.00426570298384902,-4.73493031207242
690404,"R85","N",43.9105479322395,0.00151630702041755,1.68310079266348
690404,"R85","Y",43.9105003406617,0.00147105681395725,1.63287306349254
690411,"R85","N",-32.5785470106093,-0.00183903369889193,-2.04132740577005
690411,"R85","Y",-32.5799440517654,-0.000473228598065237,-0.525283743852413
690420,"R85","N",36.4074243342493,0.000168099652646424,0.186590614437531
690420,"R85","Y",36.4085085161649,-0.000443361618693061,-0.492131396749297
690423,"R85","N",42.2599516748188,-0.0326058530855438,-36.1924969249536
690423,"R85","Y",42.2569583031744,-0.0543178733583308,-60.2928394277472
690425,"R85","N",53.5406196601934,0.0127876993451954,14.1943462731669
690425,"R85","Y",53.5420442222118,0.010796352688722,11.9839514844814
690429,"R85","N",54.4424118486369,-0.00236874571349058,-2.62930774197454
690429,"R85","Y",54.4423449150803,-0.00339116208723631,-3.7641899168323
690430,"R85","N",-40.1670169306376,-0.0258139112825744,-28.6534415236576
690430,"R85","Y",-40.1670169306376,-0.025929715132048,-28.7819837965732
690432,"R85","N",1.06604791773287,0.0204849221814081,22.738263621363
690432,"R85","Y",1.06464203558692,0.020322181642006,22.5576216226267
690433,"R85","N",0.941781273907723,-0.00487203634952142,-5.40796034796878
690433,"R85","Y",0.920551297379223,-0.0060638714192237,-6.7308972753383
690434,"R85","N",52.9235109316582,0.00328872978183277,3.65049005783437
690434,"R85","Y",52.9228310114868,0.00322101495697799,3.57532660224557
690440,"R85","N",8.2701261321695,-0.00043206570587453,-0.479592933520729
690440,"R85","Y",8.26990306292676,-0.000328242313471911,-0.364348967953821
690444,"R85","N",18.7899082165822,-0.00297165113393904,-3.29853275867234
690444,"R85","Y",18.7882802216397,-0.00238113020569269,-2.64305452831889
690445,"R85","N",31.397275932202,0.0163400403889223,18.1374448317038
690445,"R85","Y",31.3964266924986,0.0179425740901376,19.9162572400528
690470,"R85","N",9.87478243865307,-0.00213074807602156,-2.36513036438393
690470,"R85","Y",9.8747794511341,-0.00190279173928808,-2.11209883060977
690595,"R85","N",12.5868745144276,0.0280420525277608,31.1266783058145
690595,"R85","Y",12.5868490387696,0.0279799273333928,31.057719340066
690598,"R85","N",34.2787827787269,0.00356033373117493,3.95197044160417
690598,"R85","Y",34.2819864353021,0.00361850375362672,4.01653916652566
690606,"R85","N",-40.1660277944028,-0.000482424819289784,-0.53549154941166
690606,"R85","Y",-40.1660227511882,-0.000482278171991586,-0.535328770910661
690608,"R85","N",50.5245883673922,0.0133197115534272,14.7848798243042
690608,"R85","Y",50.5235848495837,0.0123218320111114,13.6772335323337
690609,"R85","N",-8.21149454891026,-0.00764044483902702,-8.48089377132
690609,"R85","Y",-8.20789836209447,-0.00786799935449573,-8.73347928349026
690610,"R85","N",20.2514397382976,-0.00419929020642124,-4.66121212912757
690610,"R85","Y",20.2475876553387,-0.00460463821245095,-5.11114841582056
690611,"R85","N",26.4070431362707,-0.00763047605485123,-8.46982842088487
690611,"R85","Y",26.4070450204231,-0.0146723481634703,-16.286306461452
690612,"R85","N",54.2277697797413,-0.00136536610093918,-1.51555637204249
690612,"R85","Y",54.2270621593167,-0.00179072753763415,-1.98770756677391
690615,"R85","N",46.3878344796925,0.0217810702952763,24.1769880277567
690615,"R85","Y",46.3863677133859,0.0211411525630436,23.4666793449784
690616,"R85","N",52.7903542441307,-0.0072370521845815,-8.03312792488547
690616,"R85","Y",52.7900972314239,-0.00800266449403355,-8.88295758837724
690617,"R85","N",49.6535373160735,0.0118005439355761,13.0986037684894
690617,"R85","Y",49.6505666103703,0.0109812051539936,12.1891377209329
690618,"R85","N",50.0372326968143,0.0158913501465445,17.6393986626644
690618,"R85","Y",50.0466939896551,0.0155489423621982,17.25932602204
690619,"R85","N",13.0424703360886,0.00607226177891119,6.74021057459142
690619,"R85","Y",13.0409932122334,0.00585808803244397,6.50247771601281
690621,"R85","N",53.3032409124211,-0.0216363085612527,-24.0163025029905
690621,"R85","Y",53.3031870268006,-0.0217164633115843,-24.1052742758586
690622,"R85","N",58.3068181504758,7.07026656319719e-05,0.0784799588514888
690622,"R85","Y",58.3068280268406,0.000100380172699164,0.111421991696072
690624,"R85","N",-20.9760488185404,-0.00766501158912915,-8.50816286393336
690624,"R85","Y",-20.9760477418508,-0.00766500718963603,-8.508157980496
690625,"R85","N",23.4543424311074,0.00183086712964469,2.0322625139056
690625,"R85","Y",23.4543425184749,0.00182934874677419,2.03057710891935
690628,"R85","N",28.5146017894107,-0.00538126540433761,-5.97320459881475
690628,"R85","Y",28.5128305389183,-0.00555004094746817,-6.16054545168966
690629,"R85","N",4.2970534277387,-0.00306306630896559,-3.40000360295181
690629,"R85","Y",4.29703636619065,-0.00301620743029234,-3.3479902476245
690631,"R85","N",52.110902707076,0.00883267515922904,9.80426942674424
690631,"R85","Y",52.1107969603109,0.00883653810563903,9.80855729725932
690651,"R85","N",48.7754249480035,-0.00276819718189573,-3.07269887190426
690651,"R85","Y",48.7732327334254,-0.00396865834123724,-4.40521075877334
690658,"R85","N",36.2629567665136,0.0835453536227601,92.7353425212637
690658,"R85","Y",36.2629567665136,0.0835478889368877,92.7381567199454
690665,"R85","N",53.0336051372715,0.00268978573082804,2.98566216121913
690665,"R85","Y",53.0331856858765,0.00219231825599623,2.43347326415581
690671,"R85","N",50.7323334786627,-0.00308856922731606,-3.42831184232083
690671,"R85","Y",50.7299059596094,-0.00332441827154938,-3.69010428141982
690674,"R85","N",-35.3910947777517,-0.00352916550515047,-3.91737371071702
690674,"R85","Y",-35.3910977666817,-0.00352529997855834,-3.91308297619976
690675,"R85","N",49.6133168643036,-0.0206919316251737,-22.9680441039428
690675,"R85","Y",49.6000392766228,-0.0630500974688232,-69.9856081903938
690676,"R85","N",46.8403666805257,-0.00752077706540187,-8.34806254259608
690676,"R85","Y",46.840331304524,-0.00761545364673841,-8.45315354787963
690677,"R85","N",-41.3430198354009,0.00157791432957983,1.75148490583361
690677,"R85","Y",-41.3403983004648,0.00313785518495185,3.48301925529655
690678,"R85","N",50.484950293892,0.00535430222561875,5.94327547043681
690678,"R85","Y",50.4831613986152,-0.000174907156844369,-0.194146944097249
690679,"R85","N",-43.0997114705265,-0.00131165636515513,-1.4559385653222
690679,"R85","Y",-43.0997179068234,-0.00138940955455198,-1.5422446055527
690680,"R85","N",51.128897126723,-0.000820693839719764,-0.910970162088938
690680,"R85","Y",51.1289074049175,-0.000847721232130119,-0.940970567664432
690681,"R85","N",-1.78695593653295,0.0169639635554284,18.8299995465256
690681,"R85","Y",-1.78705117689681,0.0167473239375409,18.5895295706704
690682,"R85","N",-47.1174270795391,0.00455039830202258,5.05094211524506
690682,"R85","Y",-47.1191634472329,0.00462492882669963,5.13367099763659
690684,"R85","N",38.0561728598491,0.01768089421417,19.6257925777287
690684,"R85","Y",38.0561729279872,0.0176707278058208,19.6145078644611
690686,"R85","N",-47.8552724654368,-0.00167195244147015,-1.85586721003186
690686,"R85","Y",-47.8554712580594,-0.00232099544905507,-2.57630494845113
690688,"R85","N",-27.3805595268984,-0.0159557241851625,-17.7108538455303
690688,"R85","Y",-27.3805595268984,-0.0166972754302143,-18.5339757275379
690690,"R85","N",49.5668760125134,-0.0154619291872397,-17.1627413978361
690690,"R85","Y",49.5630033354871,-0.0163228902397905,-18.1184081661675
690692,"R85","N",-40.6330343782123,-0.003344195206714,-3.71205667945254
690692,"R85","Y",-40.633037868771,-0.00333673660853342,-3.7037776354721
690693,"R85","N",30.3541671265098,-0.031348511480763,-34.7968477436469
690693,"R85","Y",30.3532997573072,-0.0219187593576966,-24.3298228870432
690694,"R85","N",2.82853592186148,0.00388683289987319,4.31438451885924
690694,"R85","Y",2.82842277778572,0.00352676472331791,3.91470884288288
690696,"R85","N",-37.9072583545808,-0.00139715209933527,-1.55083883026214
690696,"R85","Y",-37.9072561670892,-0.0013932535193553,-1.54651140648438
690750,"R85","N",11.3260562375362,0.00051038852921996,0.566531267434156
690750,"R85","Y",11.326102174729,0.000486857845303549,0.54041220828694
690751,"R85","N",-27.551966036479,0.00112172508940632,1.24511484924101
690751,"R85","Y",-27.5514344874229,0.00126787173051314,1.40733762086958
